day,steady_supply,demand_variation,transport_noise,total_supply,transport_method,daily_cost
1,600.0000000000006,480.00000000000045,-4.852062242635907,1075.147937757365,rocket,500000
2,600.0000000000006,482.8508876265447,-1.7982686800733818,1081.052618946472,rocket,500000
3,600.0000000000006,485.7372033402236,-3.252945749565057,1082.4842575906591,rocket,500000
4,600.0000000000006,488.6321088857675,5.406971299282709,1094.0390801850508,rocket,500000
5,600.0000000000006,491.5963433668777,9.294287192428751,1100.890630559307,rocket,500000
6,600.0000000000006,494.6016871502336,-1.25908701703626,1093.342600133198,rocket,500000
7,600.0000000000006,497.5617427510328,1.051702443867447,1098.6134451949008,elevator,100000
8,600.0000000000006,500.55342342220223,-1.2345778050665193,1099.3188456171363,rocket,500000
9,600.0000000000006,503.54933649590504,3.3664754081149386,1106.9158119040205,elevator,100000
10,600.0000000000006,506.59083136732914,-1.228110056893897,1105.3627213104357,elevator,100000
11,600.0000000000006,509.62300769519175,-4.093601031333051,1105.5294066638594,rocket,500000
12,600.0000000000006,512.656184135175,-12.785906103542784,1099.8702780316326,rocket,500000
13,600.0000000000006,515.6554058033647,10.796200685708653,1126.451606489074,elevator,100000
14,600.0000000000006,518.8141154422992,0.6334448887591381,1119.4475603310589,elevator,100000
15,600.0000000000006,521.9308008042856,-3.0669524426557846,1118.8638483616305,rocket,500000
16,600.0000000000006,525.0439838944553,-2.4284763829687672,1122.615507511487,elevator,100000
17,600.0000000000006,528.1796769395241,14.075779252842036,1142.2554561923666,rocket,500000
18,600.0000000000006,531.4332096766784,-6.486349417100544,1124.9468602595782,rocket,500000
19,600.0000000000006,534.5828908382358,0.45702132052985645,1135.0399121587661,rocket,500000
20,600.0000000000006,537.7931303111884,-0.33357914317546794,1137.4595511680136,rocket,500000
21,600.0000000000006,541.0178876181965,3.9757453343037557,1144.993632952501,rocket,500000
22,600.0000000000006,544.2878494159114,-2.9290688636302336,1141.3587805522818,rocket,500000
23,600.0000000000006,547.5360020992251,-6.1798724984203375,1141.3561296008054,elevator,100000
24,600.0000000000006,550.78413887683,3.0283684517637446,1153.8125073285944,rocket,500000
25,600.0000000000006,554.1070139208016,-6.295971161089397,1147.8110427597128,rocket,500000
26,600.0000000000006,557.3938801773598,0.5833215342412387,1157.9772017116018,rocket,500000
27,600.0000000000006,560.7417433876295,-0.382738073450973,1160.359005314179,elevator,100000
28,600.0000000000006,564.1038974195145,0.7491202655754745,1164.8530176850907,rocket,500000
29,600.0000000000006,567.4930155256251,8.07196360165793,1175.5649791272836,elevator,100000
30,600.0000000000006,570.9464054003888,-1.367184991629926,1169.5792204087593,rocket,500000
31,600.0000000000006,574.3638807228415,-5.982485713043176,1168.381395009799,elevator,100000
32,600.0000000000006,577.7741690929003,-9.128183351902269,1168.6459857409986,elevator,100000
33,600.0000000000006,581.1860450073461,-0.37413799986138757,1180.8119070074854,elevator,100000
34,600.0000000000006,584.6709164493911,-10.577850793185103,1174.0930656562068,elevator,100000
35,600.0000000000006,588.1154748433285,-1.0068994841398369,1187.1085753591892,elevator,100000
36,600.0000000000006,591.6381262954835,-4.1703558279318695,1187.4677704675523,elevator,100000
37,600.0000000000006,595.1629329182889,-2.181959471872681,1192.9809734464168,rocket,500000
38,600.0000000000006,598.7208187589674,4.559804326318742,1203.2806230852868,elevator,100000
39,600.0000000000006,300.0000000000003,15.749950805915807,915.7499508059167,rocket,500000
40,600.0000000000006,300.0000000000003,-8.692364601788707,891.3076353982123,elevator,100000
41,600.0000000000006,300.0000000000003,3.8941398791112363,903.8941398791121,rocket,500000
42,600.0000000000006,300.0000000000003,-6.5308751684248545,893.4691248315761,rocket,500000
43,600.0000000000006,300.0000000000003,4.703996650324738,904.7039966503256,rocket,500000
44,600.0000000000006,300.0000000000003,10.539570157050107,910.539570157051,rocket,500000
45,600.0000000000006,300.0000000000003,5.7003769060202805,905.7003769060212,elevator,100000
46,600.0000000000006,300.0000000000003,4.317509948075469,904.3175099480763,elevator,100000
47,600.0000000000006,300.0000000000003,4.089399387062003,904.0893993870629,rocket,500000
48,600.0000000000006,300.0000000000003,-3.5530852074967565,896.4469147925041,elevator,100000
49,600.0000000000006,300.0000000000003,-8.203128160922068,891.7968718390788,rocket,500000
50,600.0000000000006,300.0000000000003,-6.1096592815566035,893.8903407184443,rocket,500000
51,600.0000000000006,300.0000000000003,-9.735106058250528,890.2648939417504,rocket,500000
52,600.0000000000006,300.0000000000003,9.72182607670558,909.7218260767065,rocket,500000
53,600.0000000000006,300.0000000000003,-4.072978912763669,895.9270210872372,elevator,100000
54,600.0000000000006,300.0000000000003,14.164224359777466,914.1642243597784,rocket,500000
55,600.0000000000006,300.0000000000003,-15.578157228727132,884.4218427712738,elevator,100000
56,600.0000000000006,300.0000000000003,-5.45568148018388,894.544318519817,rocket,500000
57,600.0000000000006,300.0000000000003,-5.718618933202458,894.2813810667984,elevator,100000
58,600.0000000000006,300.0000000000003,-5.189249367975617,894.8107506320252,rocket,500000
59,600.0000000000006,300.0000000000003,-7.80252557382176,892.1974744261792,rocket,500000
60,600.0000000000006,300.0000000000003,9.956060645836777,909.9560606458377,elevator,100000
61,600.0000000000006,300.0000000000003,5.661639046215954,905.6616390462169,rocket,500000
62,600.0000000000006,300.0000000000003,2.9570725065992365,902.9570725066002,rocket,500000
63,600.0000000000006,300.0000000000003,6.59040641941761,906.5904064194185,elevator,100000
64,600.0000000000006,300.0000000000003,-3.290548882127092,896.7094511178739,rocket,500000
65,600.0000000000006,300.0000000000003,-1.7662828054578597,898.233717194543,rocket,500000
66,600.0000000000006,300.0000000000003,-1.2167250275205341,898.7832749724804,rocket,500000
67,600.0000000000006,300.0000000000003,4.3683190357465405,904.3683190357475,rocket,500000
68,600.0000000000006,300.0000000000003,0.6255043359938444,900.6255043359947,rocket,500000
69,600.0000000000006,300.0000000000003,10.48733577019311,910.487335770194,rocket,500000
70,600.0000000000006,300.0000000000003,7.016638666995051,907.016638666996,rocket,500000
71,600.0000000000006,300.0000000000003,1.3455582483373114,901.3455582483382,rocket,500000
72,600.0000000000006,300.0000000000003,4.688195250669664,904.6881952506706,rocket,500000
73,600.0000000000006,300.0000000000003,-2.8876933250058063,897.1123066749951,rocket,500000
74,600.0000000000006,300.0000000000003,2.455689499798818,902.4556894997997,rocket,500000
75,600.0000000000006,300.0000000000003,-3.750701599652942,896.2492984003479,rocket,500000
76,600.0000000000006,300.0000000000003,-3.656077495134777,896.3439225048661,rocket,500000
77,600.0000000000006,300.0000000000003,-7.967769007239749,892.0322309927611,elevator,100000
78,600.0000000000006,300.0000000000003,-3.5118788448373683,896.4881211551635,rocket,500000
79,600.0000000000006,300.0000000000003,-1.607599752317317,898.3924002476836,rocket,500000
80,600.0000000000006,300.0000000000003,3.098055220873445,903.0980552208744,rocket,500000
81,600.0000000000006,300.0000000000003,-7.461075745182505,892.5389242548184,rocket,500000
82,600.0000000000006,300.0000000000003,7.8357382377656695,907.8357382377666,rocket,500000
83,600.0000000000006,300.0000000000003,-10.378965030035625,889.6210349699653,rocket,500000
84,600.0000000000006,300.0000000000003,-2.0846724768780844,897.9153275231229,rocket,500000
85,600.0000000000006,300.0000000000003,-8.479469320216388,891.5205306797845,elevator,100000
86,600.0000000000006,300.0000000000003,0.6702897659414028,900.6702897659424,rocket,500000
87,600.0000000000006,300.0000000000003,5.998410560570814,905.9984105605718,rocket,500000
88,600.0000000000006,300.0000000000003,-1.7497845532835588,898.2502154467173,elevator,100000
89,600.0000000000006,300.0000000000003,9.278106428236098,909.278106428237,rocket,500000
90,600.0000000000006,300.0000000000003,3.2638539078673663,903.2638539078682,elevator,100000
91,600.0000000000006,300.0000000000003,5.070967992157366,905.0709679921583,rocket,500000
92,600.0000000000006,300.0000000000003,-11.01286101216607,888.9871389878349,elevator,100000
